2f8000 9483
2f8002 5aa9
0786de 23ef
0781cc 27ef
0781e8 dfee
0781ee 87ef
0781f4 f7ee
078248 dfee
078264 dfee
0783ee dbee
078404 37ef
078432 dbee
078464 dbee
07846a dbee
078478 d7ee
078486 dbee
0784ac 2fef
0784e4 2fef
078518 dfee
07851e dfee
07852c 2fef
078532 87ef
078538 d7ee
078608 dbee
07860e e3ee
078614 37ef
07865c 03ef
078676 0bef
07874c dbee
078798 ffee
07879e 8fef
0787c2 d7ee
0787d0 dbee
0787fa e3ee
078802 2fef
078824 dbee
078836 dbee
07883c 87ef
078876 2fef
0788ca dbee
07890e 2bef
078914 27ef
07896e 43ef
07899c 87ef
0789ec 87ef
07e9c9 33ef
078ae4 83ef
078b24 2fef
078b46 87ef
078ba4 ebee
078bac 33ef
078bc0 27ef
078be6 dbee
078bec d7ee
078c04 e0ef
078c14 dfee
078c2a 07ef
078c36 2fef
078c3e 2bef
078c44 7fef
078c52 f3ee
078c66 dfee
078c74 cfef
078c82 2fef
078cbc dbee
078cca 33ef
078e6e dbee
078e74 7fef
078f30 e3ee
078fca dfee
078fd2 dfee
0790c0 dfee
079100 e3ee
07edb4 87ef
079110 2fef
079184 dfee
07c265 dbee
07c2e9 2bef
07c2ef e3ee
07c319 e3ee
07c337 1fef
07c357 dbee
07c365 d7ee
07c36d 6fef
07c437 dbee
07c43d dbee
07c47d dfee
07c483 7fef
07c4af fbee
07c4b5 d7ee
07c533 0fef
07c559 6bef
07c5dd e3ee
07c5e3 2bef
07c5eb dbee
07c5f1 dbee
07c603 dbee
07c609 dfee
07c6e5 2fef
07c74d bbef
07c755 dbee
07ec12 2bef
2f8039 0301
2f803b 0202
2f803d 0103
2f803f 0302
2f8041 0201
2f8049 0101
2f804b 0001
2f804d 0202
2f804f 0001
2f8051 0300
2f8007 1a00
2f801b 0400
2f801f 1800
2f8015 1900
2f800f 1c00
2f8009 1d00
2f800b 2900
2f802b 3000
2f8029 3500
2f8013 3700
2f8017 3b00
2f801d 4f00
2f8019 5200
2f800d 5700
2f8021 5900
2f8023 5a00
2f8011 6200
2f8005 0f
2f8004 00
2f8b10 0040
07af3b c8a4
07b67d 428a
0799e8 9ca3
079628 84a3
079fe3 3a92
07ae9f 868e
079425 ae8a
07a351 4a9a
0794b7 08a7
079e7b 90a3
07995f 0a8f
07a9d5 fe8b
07a6ca 10a5
07a614 ea93
07cfa9 30a3
07d12d a28a
07a594 48ae
07ccb9 c0ae
07d7d7 e8ad
07b3a1 d0ad
07d5ce 7e96
079651 fa95
07cf41 e691
07a6c8 ca89
07a498 2a90
079ee5 d296
0795cf ea8a
07ad8d 80a4
07d1ce f68a
07d247 9e8e
07a27c 228c
079992 d293
07cfab 3e91
07a952 528c
07cff0 2e92
0795a6 c690
2f8b0c 0000
2f8b00 cdab004812a000eeeeeeeeee
