2f8000 9483
2f8002 5aa9
0786de 23ef
0781cc dbee
0781e8 dbee
0781ee 83ef
0781f4 dbee
078248 d7ee
078264 dfee
0783ee dbee
078404 37ef
078432 dfee
078464 d7ee
07846a 27ef
078478 f3ee
078486 13ef
0784ac 3bef
0784e4 33ef
078518 d7ee
07851e fbee
07852c 33ef
078532 93ef
078538 dfee
078608 dfee
07860e dfee
078614 53ef
07865c e3ee
078676 d7ee
07874c d7ee
078798 dbee
07879e 83ef
0787c2 d7ee
0787d0 1fef
0787fa d7ee
078802 2fef
078824 d7ee
078836 dbee
07883c 87ef
078876 2fef
0788ca dbee
07890e 2fef
078914 e3ee
07896e 33ef
07899c 97ef
0789ec 83ef
078ae4 83ef
078b24 2fef
078b46 87ef
078ba4 dbee
078bac 2fef
078bc0 0bef
078be6 dbee
078bec dbee
078c04 27ef
078c14 03ef
078c2a e3ee
078c36 2fef
078c3e 33ef
078c44 87ef
078c52 dbee
078c66 dfee
078c74 87ef
078c82 2bef
078cbc d7ee
078cca 6bef
078e6e dbee
078e74 83ef
078f30 dfee
078fca dfee
078fd2 d7ee
0790c0 e3ee
079100 f7ee
07edb4 83ef
07ede5 8bef
079110 33ef
079184 dbee
07c265 dfee
07c2e9 33ef
07c2ef 0fef
07c319 dfee
07c337 dfee
07c357 dbee
07c365 e3ee
07c36d 2bef
07c437 dbee
07c43d dbee
07c47d dfee
07c483 cfef
07c4af e3ee
07c4b5 dbee
07c533 dbee
07c559 37ef
07c5dd dbee
07c5e3 2fef
07c5eb d7ee
07c5f1 dbee
07c603 dbee
07c609 dfee
07c6e5 7bef
07c74d 7fef
07c755 1bef
07ec12 5bef
2f8039 0303
2f803b 0505
2f803d 0202
2f803f 0101
2f8041 0102
2f8049 0000
2f804b 0200
2f804d 0000
2f804f 0101
2f8051 0100
2f8017 0c00
2f8011 0d00
2f8009 0e00
2f800d 1100
2f802b 1300
2f800f 1700
2f8007 1a00
2f801d 1f00
2f800b 2a00
2f8015 3200
2f801f 3600
2f8023 4000
2f801b 4700
2f8021 4d00
2f8019 6300
2f8013 6800
2f8005 1f
2f8004 00
2f8b10 0040
079425 c8a4
0794b7 4a9a
0795a6 90a3
0795cf 428a
079628 9ca3
079651 ae8a
07995f d296
079992 2a90
0799e8 2e92
079e7b 7e96
079ee5 3a92
079fe3 fe8b
07a27c c690
07a351 84a3
07a498 868e
07a594 48ae
07a614 10a5
07a6c8 80a4
07a6ca 30a3
07a952 d293
07a9d5 ea93
07ad8d f68a
07ae9f 228c
07af3b 9e8e
07b3a1 f4ad
07b67d 08a7
07ccb9 c0ae
07cf41 ca89
07cfa9 e691
07cfab 528c
07cff0 3e91
07d12d 0a8f
07d1ce fa95
07d247 a28a
07d5ce ea8a
07d7d7 ccae
2f8b0c 0000
2f8b00 cdab004803a000eeeeeeeeee
